"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 29 16:48:02 UTC 2025","Mon Sep 29 16:48:02 UTC 2025","16","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceStatusQueriesWorkCorrectly","Device status queries work correctly","Verify device status updates are reflected"
"broken","Mon Sep 29 16:48:15 UTC 2025","Mon Sep 29 16:48:15 UTC 2025","15","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidLastNames","Should fail registration with invalid last names [13] lastName=SmithJohnson",""
"broken","Mon Sep 29 16:48:15 UTC 2025","Mon Sep 29 16:48:15 UTC 2025","12","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidFirstNames","Should fail registration with invalid first names [4] firstName=123",""
"broken","Mon Sep 29 16:48:13 UTC 2025","Mon Sep 29 16:48:14 UTC 2025","35","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidPasswords","Should fail registration with invalid passwords [4] password=Passw1!",""
"broken","Mon Sep 29 16:48:15 UTC 2025","Mon Sep 29 16:48:15 UTC 2025","15","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidFirstNames","Should fail registration with invalid first names [2] firstName=VeryLongFirstNameThatExceedsTheMaximumFiftyCharacterLimit",""
"broken","Mon Sep 29 16:48:14 UTC 2025","Mon Sep 29 16:48:14 UTC 2025","19","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidPasswords","Should fail registration with invalid passwords [15] password=12345678",""
"broken","Mon Sep 29 16:48:14 UTC 2025","Mon Sep 29 16:48:14 UTC 2025","21","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidPasswords","Should fail registration with invalid passwords [9] password=12345678!",""
"skipped","Mon Sep 29 16:48:25 UTC 2025","Mon Sep 29 16:48:25 UTC 2025","0","","Log Event Pipeline Extended E2E","","com.openframe.tests.e2e.LogEventPipelineExtendedTest","shouldHandleLargeMessages","shouldHandleLargeMessages()","Verify pipeline handles large messages correctly"
"broken","Mon Sep 29 16:48:14 UTC 2025","Mon Sep 29 16:48:14 UTC 2025","20","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidEmails","Should fail registration with invalid emails [18] email=user@domain\com",""
"broken","Mon Sep 29 16:48:15 UTC 2025","Mon Sep 29 16:48:15 UTC 2025","15","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidTenantNames","Should fail registration with invalid tenant names [1] tenantName=",""
"broken","Mon Sep 29 16:48:25 UTC 2025","Mon Sep 29 16:48:25 UTC 2025","0","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","","User Registration Negative API Tests",""
"broken","Mon Sep 29 16:48:15 UTC 2025","Mon Sep 29 16:48:15 UTC 2025","12","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidFirstNames","Should fail registration with invalid first names [8] firstName=John{Smith}",""
"failed","Mon Sep 29 16:48:02 UTC 2025","Mon Sep 29 16:48:02 UTC 2025","47","","Agent Registration Flow E2E Test","","com.openframe.tests.integration.AgentRegistrationTest","multipleAgentsCanRegisterConcurrently","Multiple agents can register concurrently","Multiple agents can register concurrently"
"broken","Mon Sep 29 16:48:15 UTC 2025","Mon Sep 29 16:48:15 UTC 2025","13","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidTenantNames","Should fail registration with invalid tenant names [6] tenantName=tenant""name",""
"skipped","Mon Sep 29 16:48:25 UTC 2025","Mon Sep 29 16:48:25 UTC 2025","0","","Device Pipeline E2E","","com.openframe.tests.e2e.DevicePipelineE2ETest","deviceFiltersAggregateCorrectly","deviceFiltersAggregateCorrectly()","Verify device filters aggregate correctly in Pinot"
"broken","Mon Sep 29 16:48:14 UTC 2025","Mon Sep 29 16:48:14 UTC 2025","26","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidEmails","Should fail registration with invalid emails [5] email=user@",""
"broken","Mon Sep 29 16:48:14 UTC 2025","Mon Sep 29 16:48:14 UTC 2025","28","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidPasswords","Should fail registration with invalid passwords [18] password=        ",""
"failed","Mon Sep 29 16:48:01 UTC 2025","Mon Sep 29 16:48:01 UTC 2025","21","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","devicesQueryableThroughPipeline","Devices queryable through GraphQL pipeline","Verify devices are queryable through GraphQL from MongoDB"
"broken","Mon Sep 29 16:48:14 UTC 2025","Mon Sep 29 16:48:14 UTC 2025","17","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidPasswords","Should fail registration with invalid passwords [17] password= ",""
"broken","Mon Sep 29 16:48:02 UTC 2025","Mon Sep 29 16:48:12 UTC 2025","10062","","com.openframe.tests.restapi.UserRegistrationApiTest","","com.openframe.tests.restapi.UserRegistrationApiTest","shouldFailRegistrationWithDuplicateEmail","Should fail registration with duplicate email",""
"broken","Mon Sep 29 16:48:14 UTC 2025","Mon Sep 29 16:48:14 UTC 2025","25","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidEmails","Should fail registration with invalid emails [8] email=user@@domain.com",""
"broken","Mon Sep 29 16:48:15 UTC 2025","Mon Sep 29 16:48:15 UTC 2025","17","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidFirstNames","Should fail registration with invalid first names [1] firstName=",""
"failed","Mon Sep 29 16:47:57 UTC 2025","Mon Sep 29 16:48:01 UTC 2025","4312","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","deviceSearchWorksCorrectly","Device search works correctly","Verify device search functionality works"
"broken","Mon Sep 29 16:48:15 UTC 2025","Mon Sep 29 16:48:15 UTC 2025","12","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidTenantNames","Should fail registration with invalid tenant names [10] tenantName=tenant
name",""
"skipped","Mon Sep 29 16:48:25 UTC 2025","Mon Sep 29 16:48:25 UTC 2025","0","","Log Event Pipeline Extended E2E","","com.openframe.tests.e2e.LogEventPipelineExtendedTest","shouldHandleHighVolumeEvents","shouldHandleHighVolumeEvents()","Verify pipeline can handle high volume of events"
"broken","Mon Sep 29 16:48:14 UTC 2025","Mon Sep 29 16:48:14 UTC 2025","28","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidPasswords","Should fail registration with invalid passwords [10] password=Password!@#",""
"failed","Mon Sep 29 16:48:01 UTC 2025","Mon Sep 29 16:48:01 UTC 2025","21","","GraphQL Device Query Integration Tests","","com.openframe.tests.integration.GraphQLDeviceQueryTest","devicePaginationWorksCorrectly","Device pagination works correctly","Verify device pagination works correctly"
"skipped","Mon Sep 29 16:48:25 UTC 2025","Mon Sep 29 16:48:25 UTC 2025","0","","Device Pipeline E2E","","com.openframe.tests.e2e.DevicePipelineE2ETest","deviceRegistrationFlowsThroughPipeline","deviceRegistrationFlowsThroughPipeline()","Verify device registration flows through complete pipeline to MongoDB and Pinot"
"broken","Mon Sep 29 16:48:14 UTC 2025","Mon Sep 29 16:48:14 UTC 2025","20","","User Registration Negative API Tests","","com.openframe.tests.restapi.UserRegistrationNegativeApiE2ETest","shouldFailRegistrationWithInvalidEmails","Should fail registration with invalid emails [19] email=user@",""
